unix_time,dt,open,high,low,close,size
1552648860,2019-03-15 20:21:00,428218,428400,428017,428368,149.04922396
1552648920,2019-03-15 20:22:00,428363,428378,428300,428374,108.7544205
1552648980,2019-03-15 20:23:00,428342,428800,428325,428745,314.35821123
1552649040,2019-03-15 20:24:00,428775,429055,428706,428999,299.22920572
1552649100,2019-03-15 20:25:00,428999,429040,428713,428757,306.30507406
1552649160,2019-03-15 20:26:00,428759,429000,428558,428669,258.58340883
1552649220,2019-03-15 20:27:00,428603,428822,428555,428773,172.15963039
1552649280,2019-03-15 20:28:00,428782,428870,428716,428783,120.95951541
1552649340,2019-03-15 20:29:00,428805,429041,428798,428915,210.87470915
1552649400,2019-03-15 20:30:00,428925,428951,428731,428894,149.36988095
1552649460,2019-03-15 20:31:00,428884,429113,428868,428994,146.39450614
1552649520,2019-03-15 20:32:00,428994,429151,428994,429141,135.44491129
1552649580,2019-03-15 20:33:00,429191,429386,429118,429200,197.1167554
1552649640,2019-03-15 20:34:00,429200,429385,429155,429346,169.23478696
1552649700,2019-03-15 20:35:00,429346,429694,429157,429694,277.04366086
1552649760,2019-03-15 20:36:00,429691,429980,429367,429800,426.91258546
1552649820,2019-03-15 20:37:00,429800,429800,429215,429424,316.75895356
1552649880,2019-03-15 20:38:00,429424,429500,429222,429257,219.88395877
1552649940,2019-03-15 20:39:00,429225,429588,429070,429427,288.80851313
1552650000,2019-03-15 20:40:00,429422,430639,429410,430284,598.14065586
1552650060,2019-03-15 20:41:00,430325,430439,429386,429402,535.01426827
1552650120,2019-03-15 20:42:00,429435,429669,429100,429669,446.86056323
1552650180,2019-03-15 20:43:00,429550,429800,429364,429388,304.80879412
1552650240,2019-03-15 20:44:00,429444,429543,429117,429261,272.11718437
1552650300,2019-03-15 20:45:00,429261,429446,429036,429289,293.23428847
1552650360,2019-03-15 20:46:00,429289,429700,429268,429698,304.40464553
1552650420,2019-03-15 20:47:00,429700,429778,429505,429778,329.57771728
1552650480,2019-03-15 20:48:00,429712,429799,429587,429641,145.92168299
1552650540,2019-03-15 20:49:00,429629,429948,429567,429803,189.19077924
1552650600,2019-03-15 20:50:00,429887,430173,429802,430049,347.98162406
1552650660,2019-03-15 20:51:00,430046,430072,429511,429746,305.16571595
1552650720,2019-03-15 20:52:00,429782,429872,429573,429746,211.64632117
1552650780,2019-03-15 20:53:00,429748,430029,429693,429929,229.82620268
1552650840,2019-03-15 20:54:00,429959,430465,429863,430300,330.33239418
1552650900,2019-03-15 20:55:00,430247,430538,430072,430169,177.52960349999995
1552650960,2019-03-15 20:56:00,430238,430405,430153,430206,198.31474501
1552651020,2019-03-15 20:57:00,430106,430221,429945,430000,268.06291937
1552651080,2019-03-15 20:58:00,430001,430700,430001,430620,253.94762004
1552651140,2019-03-15 20:59:00,430424,430589,430009,430332,291.66414032
1552651200,2019-03-15 21:00:00,430332,430383,429815,430060,230.05244178
1552651260,2019-03-15 21:01:00,430067,431150,429957,430913,536.38935025
1552651320,2019-03-15 21:02:00,430852,431450,430079,430547,497.19604301
1552651380,2019-03-15 21:03:00,430547,430729,430400,430576,279.56383081
1552651440,2019-03-15 21:04:00,430479,430900,430168,430677,299.7201841
1552651500,2019-03-15 21:05:00,430686,431179,430512,431084,299.84301993
1552651560,2019-03-15 21:06:00,431085,431179,430501,430863,260.33775548
1552651620,2019-03-15 21:07:00,430851,430987,430331,430560,240.22248857
1552651680,2019-03-15 21:08:00,430560,431250,430404,431164,299.27238907
1552651740,2019-03-15 21:09:00,431164,431219,430429,430780,401.52164318
1552651800,2019-03-15 21:10:00,430887,430889,430106,430130,454.28472756
1552651860,2019-03-15 21:11:00,430299,430458,430004,430037,274.56012244
1552651920,2019-03-15 21:12:00,430087,430141,429500,429662,524.41064539
1552651980,2019-03-15 21:13:00,429709,430050,429577,429736,354.15986216
1552652040,2019-03-15 21:14:00,429736,429863,429532,429769,235.42592291
1552652100,2019-03-15 21:15:00,429768,429891,429551,429703,326.31623473
1552652160,2019-03-15 21:16:00,429703,430300,429656,430200,380.71956208
1552652220,2019-03-15 21:17:00,430205,430212,429916,430079,289.79800196
1552652280,2019-03-15 21:18:00,430079,430165,429915,430003,203.19266254
1552652340,2019-03-15 21:19:00,430003,430090,429636,429768,238.38186394
1552652400,2019-03-15 21:20:00,429763,430600,429728,430216,340.49739046
1552652460,2019-03-15 21:21:00,430217,430449,430129,430321,179.95013872
1552652520,2019-03-15 21:22:00,430311,430756,430252,430425,360.42867259
1552652580,2019-03-15 21:23:00,430524,430736,430382,430602,347.34763714
1552652640,2019-03-15 21:24:00,430603,430718,430507,430679,189.19734509
1552652700,2019-03-15 21:25:00,430669,431002,430664,430931,354.30861049
1552652760,2019-03-15 21:26:00,430945,430945,430522,430625,256.8763822
1552652820,2019-03-15 21:27:00,430595,430689,429762,430013,519.84984959
1552652880,2019-03-15 21:28:00,430013,430089,429800,429950,321.9713553
1552652940,2019-03-15 21:29:00,429943,430239,429900,430095,232.70813358
1552653000,2019-03-15 21:30:00,430098,430278,429814,429887,260.34839397
1552653060,2019-03-15 21:31:00,429891,429929,429401,429517,385.39145322
1552653120,2019-03-15 21:32:00,429500,429625,429200,429436,433.40522286
1552653180,2019-03-15 21:33:00,429436,429800,429430,429537,347.4749097
1552653240,2019-03-15 21:34:00,429537,429579,429021,429032,290.3244591
1552653300,2019-03-15 21:35:00,429032,429344,429000,429157,345.62473775
1552653360,2019-03-15 21:36:00,429157,429247,429043,429191,123.65037965
1552653420,2019-03-15 21:37:00,429231,429405,427940,427940,487.82103968
1552653480,2019-03-15 21:38:00,427800,428769,427644,428365,608.51868694
1552653540,2019-03-15 21:39:00,428398,429178,428398,428872,508.98268651
1552653600,2019-03-15 21:40:00,428957,429300,428893,429292,375.83600155
1552653660,2019-03-15 21:41:00,429337,429366,429095,429260,309.24959413
1552653720,2019-03-15 21:42:00,429214,429311,429072,429124,176.10874269
1552653780,2019-03-15 21:43:00,429124,429256,429035,429256,175.38150518
1552653840,2019-03-15 21:44:00,429250,429325,429196,429206,165.56061607
1552653900,2019-03-15 21:45:00,429182,429388,429066,429230,221.93735043
1552653960,2019-03-15 21:46:00,429230,429267,428903,429240,163.12503743
